"NOME O","NOME A","NOME OS","NOME AS","PRÓPRIOS","Q POST","O ADJ POST","A ADJ POST","OS ADJ POST","AS ADJ POST","O ADJ PRE","A ADJ PRE","OS ADJ PRE","AS ADJ PRE","CATEGORIAS","ATORES","ATRIZES","AUTORES"
"Abismo","Água","Abismos","Águas","Alexia","a Mais","Abençoado","Abençoada","Abençoados","Abençoadas","Alegre","Alegre","Alegres","Alegres","novela das 6 da Globo","Alexandre Borges","Adriana Esteves","Walcyr Carrasco"
"Abraço","Alegria","Abraços","Alegrias","Aline","a Menos","Alado","Alada","Alados","Aladas","Alto","Alta","Altos","Altas","novela das 7 da Globo","Alexandre Nero","Alanis Guillen","Aguinaldo Silva"
"Amanhã","Alma","Amanhãs","Almas","Alzira","ao Sol","Alegre","Alegre","Alegres","Alegres","Antigo","Antiga","Antigos","Antigas","novela das 8/9 da Globo","Antonio Calloni","Alessandra Negrini","Glória Perez"
"Amigo","Ambição","Amigos","Ambições","Amara","com Amor","Alto","Alta","Altos","Altas","Belíssimo","Belíssima","Belíssimos","Belíssimas","novela das 11 da Globo","Antonio Fagundes","Alice Wegmann","João Emanuel Carneiro"
"Amor","Amiga","Amores","Amigas","Ametista","com Pimenta","Amigo","Amiga","Amigos","Amigas","Bom","Boa","Bons","Boas","novela da Record","Antônio Fagundes","Alinne Moraes","Gilberto Braga"
"Anjo","Atração","Anjos","Atrações","Ana Maria","da Alegria","Antigo","Antiga","Antigos","Antigas","Divino","Divina","Divinos","Divinas","novela do SBT","Bruno Cabrerizo","Ana Paula Arósio","Manoel Carlos"
"Ar","Aventura","Ares","Aventuras","Benedita","da Atração","Apaixonado","Apaixonada","Apaixonados","Apaixonadas","Estranho","Estranha","Estranhos","Estranhas",,"Bruno Gagliasso","Andréa Beltrão","Silvio de Abreu"
"Aroma","Bela","Aromas","Belas","Betina","da Carne","Autêntico","Autêntica","Autênticos","Autênticas","Eterno","Eterna","Eternos","Eternas",,"Bruno Garcia","Andreia Horta","Carlos Lombardi"
"Astro","Beleza","Astros","Belezas","Camila","da China","Belíssimo","Belíssima","Belíssimos","Belíssimas","Falso","Falsa","Falsos","Falsas",,"Caco Ciocler","Aracy Balabarian","Janete Clair"
"Beijo","Caminhada","Beijos","Caminhadas","Carmelita","da Coragem","Bom","Boa","Bons","Boas","Fino","Fina","Finos","Finas",,"Caio Blat","Bianca Bin","Dias Gomes"
"Belo","Cara","Belos","Caras","Caterina","da Cumplicidade","Bonito","Bonita","Bonitos","Bonitas","Forte","Forte","Fortes","Fortes",,"Carmo Dalla Vecchia","Bruna Linzmeyer","Benedito Ruy Barbosa"
"Cambalacho","Casa","Caminhos","Casas","Clarice","da Dor","Brasileiro","Brasileira","Brasileiros","Brasileiras","Grande","Grande","Grandes","Grandes",,"Cássio Gabus Mendes","Bruna Lombardi","Antônio Calmon"
"Caminho","Celebridade","Casarões","Chaves","Damiana","da Fantasia","Brilhante","Brilhante","Brilhantes","Brilhantes","Indomável","Indomável","Indomáveis","Indomáveis",,"Cauã Reymond","Bruna Marquezine","Thelma Guedes"
"Carrossel","Chave","Corações","Cores","Dara","da Ilusão","Capital","Capital","Capitais","Capitais","Insensato","Insensata","Insensatos","Insensatas",,"Chay Suede","Camila Pitanga","Maria Adelaide Amaral"
"Casarão","Cor","Corpos","Descobertas","Eleonora","da Jornada","Carinhoso","Carinhosa","Carinhosos","Carinhosas","Jovem","Jovem","Jovens","Jovens",,"Cláudio Heinrich","Camila Queiroz","Manuela Dias"
"Cheiro","Coragem","Desejos","Donas","Elísia","da Justiça","Corajoso","Corajosa","Corajosos","Corajosas","Louca","Louca","Loucos","Loucas",,"Dalton Vigh","Carolina Dieckmann","Rosane Svartman"
"Conflito","Descoberta","Destinos","Dores","Eulália","da Liberdade","Deslumbrante","Deslumbrante","Deslumbrantes","Deslumbrantes","Maldito","Maldita","Malditos","Malditas",,"Daniel de Oliveira","Carolina Ferraz","Iris Abravanel"
"Coquetel","Dona","Deveres","Estações","Evangeline","da Lua","Distante","Distante","Distantes","Distantes","Mau","Má","Maus","Más",,"Danton Mello","Cássia Kis","Cassiano Gabus Mendes"
"Coração","Dor","Direitos","Estrelas","Farah","da Magia","Divino","Divina","Divinos","Divinas","Meu","Minha","Meus","Minhas",,"Domingos Montagner","Cássia Kis Magro",
"Corpo","Escalada","Donos","Famílias","Georgette","da Manhã","Domado","Domada","Domados","Domadas","Novo","Nova","Novos","Novas",,"Edson Celulari","Christiane Torloni",
"Desejo","Estação","Encantos","Fantasias","Isabela","da Noite","Dourado","Dourada","Dourados","Douradas","Pequeno","Pequena","Pequenos","Pequenas",,"Eduardo Moscovis","Cláudia Abreu",
"Destino","Estrela","Enigmas","Feras","Isadora","da Paixão","Efêmero","Efêmera","Efêmeros","Efêmeras","Primeiro","Primeira","Primeiros","Primeiras",,"Emilio Dantas","Cláudia Ohana",
"Dever","Família","Espelhos","Filhas","Isolda","da Primavera","Encantado","Encantada","Encantados","Encantadas","Próximo","Próxima","Próximos","Próximas",,"Eriberto Leão","Cláudia Raia",
"Direito","Fantasia","Feijões","Flores","Jacira","da Terra","Estranho","Estranha","Estranhos","Estranhas","Sagrado","Sagrada","Sagrados","Sagradas",,"Fábio Assunção","Cléo Pires",
"Dono","Fascinação","Filhos","Forças","Jade","da Verdade","Eterno","Eterna","Eternos","Eternas","Sensato","Sensata","Sensatos","Sensatas",,"Felipe Simas","Cristiana Oliveira",
"Encanto","Felicidade","Finais","Gatas","Jandira","da Vida","Falso","Falsa","Falsos","Falsas","Sétimo","Sétima","Sétimos","Sétimas",,"Gabriel Braga Nunes","Danielle Winits",
"Enigma","Fera","Gatos","Gerações","Júlia","da Vitória","Fascinante","Fascinante","Fascinantes","Fascinantes","Suave","Suave","Suaves","Suaves",,"Guilherme Fontes","Débora Falabella",
"Espelho","Filha","Gigantes","Guardiãs","Larissa","das Dores","Feliz","Feliz","Felizes","Felizes","Triste","Triste","Tristes","Tristes",,"Henri Castelli","Débora Nascimento",
"Feijão","Flor","Gostos","Ilusões","Marcella","das Flores","Ferido","Ferida","Feridos","Feridas","Último","Última","Últimos","Últimas",,"Herson Capri","Deborah Secco",
"Filho","Força","Guardiões","Intrigas","Mariah","das Ilusões","Fino","Fina","Finos","Finas","Velho","Velha","Velhos","Velhas",,"Hugo Carvana","Dira Paes",
"Final","Gata","Homens","Irmãs","Mariana","das Mulheres","Forte","Forte","Fortes","Fortes","Verdadeiro","Verdadeira","Verdadeiros","Verdadeiras",,"Humberto Carrão","Drica Moraes",
"Fogo","Gente","Impérios","Jogadas","Marisa","das Noites","Generoso","Generosa","Generosos","Generosas",,,"Três","Três",,"Humberto Martins","Eliane Giardini",
"Gato","Geração","Irmãos","Jornadas","Maristela","das Paixões","Grande","Grande","Grandes","Grandes",,,"Seis","Seis",,"Irandhir Santos","Elizabeth Savalla",
"Gigante","Guardiã","Jogos","Justiças","Marli","das Índias","Herói","Heroína","Heróis","Heroínas",,,"Dois","Duas",,"Jayme Matarazzo","Eva Wilma",
"Gosto","Harmonia","Lados","Leis","Morgana","de Amar","Honesto","Honesta","Honestos","Honestas",,"","","",,"Jesuíta Barbosa","Fernanda Lima",
"Guardião","Ilusão","Limites","Liberdades","Nair","de Amor","Imperfeito","Imperfeita","Imperfeitos","Imperfeitas",,,,,,"José Wilker","Fernanda Montenegro",
"Homem","Irmã","Lugares","Luas","Natália","de Anjo","Impuro","Impura","Impuros","Impuras",,,,,,"Kadu Moliterno","Fernanda Vasconcellos",
"Império","Jogada","Mananciais","Luzes","Octavia","de Areia","Indomável","Indomável","Indomáveis","Indomáveis",,,,,,"Lázaro Ramos","Flávia Alessandra",
"Irmão","Jornada","Mapas","Mães","Odette","de Aço","Infinito","Infinita","Infinitos","Infinitas",,,,,,"Luigi Baricelli","Gabriela Duarte",
"Jogo","Justiça","Mares","Máscaras","Ophelia","de Chocolate","Insensato","Insensata","Insensatos","Insensatas",,,,,,"Luís Melo","Giovanna Antonelli",
"Lado","Lei","Mistérios","Mentiras","Pamela","de Chão","Intrigante","Intrigante","Intrigantes","Intrigantes",,,,,,"Malvino Salvador","Giulia Gam",
"Limite","Liberdade","Mundos","Mulheres","Pérola","de Esperança","Jovem","Jovem","Jovens","Jovens",,,,,,"Marcello Antony","Glória Menezes",
"Lugar","Lua","Negócios","Paixões","Rafaela","de Feras","Leal","Leal","Leais","Leais",,,,,,"Marcello Novaes","Glória Pires",
"Manancial","Luz","Nomes","Pedras","Safira","de Fogo","Legal","Legal","Legais","Legais",,,,,,"Marcelo Serrado","Grazi Massafera",
"Mapa","Mãe","Olhares","Pontes","Samara","de Gato","Louca","Louca","Loucos","Loucas",,,,,,"Márcio Garcia","Guilherme Fontes",
"Mar","Mandala","Pactos","Rainhas","Selene","de Inverno","Mágico","Mágica","Mágicos","Mágicas",,,,,,"Marco Nanini","Helena Ranaldi",
"Medo","Máscara","Pecados","Regras","Serafina","de Mulher","Majestoso","Majestosa","Majestosos","Majestosas",,,,,,"Marco Pigossi","Ingrid Guimarães",
"Mistério","Melodia","Poderes","Senhoras","Tainá","de Mãe","Maldito","Maldita","Malditos","Malditas",,,,,,"Marcos Palmeira","Irene Ravache",
"Mundo","Mentira","Portos","Sombras","Valentina","de Nascer","Mau","Má","Maus","Más",,,,,,"Marcos Pasquim","Isabel Teixeira",
"Negócio","Mulher","Privilégios","Sucessoras","Vilma","de Noiva","Moderno","Moderna","Modernos","Modernas",,,,,,"Marcos Paulo","Isabelle Drummond",
"Nome","Paixão","Reis","Tempestades","Yara","de Novo","Mortal","Mortal","Mortais","Mortais",,,,,,"Mário Gomes","Isis Valverde",
"Olhar","Pedra","Rivais","Terras","Zara","de Outono","Nascente","Nascente","Nascentes","Nascentes",,,,,,"Mateus Solano","Jéssica Ellen",
"Pacto","Ponte","Sabores","Valsas","Zélia","de Paixão","Novo","Nova","Novos","Novas",,,,,,"Mauricio Destri","Julia Lemmertz",
"Paraíso","Rainha","Segredos","Verdades","Zilda","de Paixões","Oculto","Oculta","Ocultos","Ocultas",,,,,,"Murilo Benício","Juliana Paes",
"Pecado","Regra","Senhores","Viagens","Zuleika","de Pedra","Oposto","Oposta","Opostos","Opostas",,,,,,"Murilo Rosa","Juliana Paiva",
"Poder","Sede","Silêncios","Vidas",,"de Quem Ama","Paralelo","Paralela","Paralelos","Paralelas",,,,,,"Osmar Prado","Karina Bacchi",
"Porto","Senhora","Sonhos","Vinganças",,"de Quem Chora","Passageiro","Passageira","Passageiros","Passageiras",,,,,,"Paulo Goulart","Leandra Leal",
"Privilégio","Sombra","Sons","Vítimas",,"de Quem Se Apaixona","Pequeno","Pequena","Pequenos","Pequenas",,,,,,"Paulo Vilhena","Letícia Colin",
"Rei","Sucessora","Sorrisos","Vitórias",,"de Quem Sofre","Perdido","Perdida","Perdidos","Perdidas",,,,,,"Rafael Cardoso","Letícia Persiles",
"Sabor","Tempestade","Sucessores",,,"de Quem Vive","Perfeito","Perfeita","Perfeitos","Perfeitas",,,,,,"Raul Cortez","Letícia Sabatella",
"Sangue","Terra","Tempos",,,"de um Amor","Preciosa","Preciosa","Preciosos","Preciosas",,,,,,"Reginaldo Faria","Letícia Spiller",
"Segredo","Valsa","Triunfos",,,"de um Beijo","Proibido","Proibida","Proibidos","Proibidas",,,,,,"Renato Góes","Lilia Cabral",
"Senhor","Verdade","Venenos",,,"de um Desejo","Puro","Pura","Puros","Puras",,,,,,"Reynaldo Gianecchini","Lília Cabral",
"Silêncio","Viagem",,,,"de um Dever","Rabugento","Rabugenta","Rabugentos","Rabugentas",,,,,,"Ricardo Pereira","Maitê Proença",
"Sol","Vida",,,,"de um Encanto","Radiante","Radiante","Radiantes","Radiantes",,,,,,"Ricardo Tozzi","Malu Mader",
"Som","Vingança",,,,"de um Gigante","Real","Real","Reais","Reais",,,,,,"Rodrigo Hilbert","Maria Flor",
"Sonho","Vítima",,,,"de um Homem","Rebelde","Rebelde","Rebeldes","Rebeldes",,,,,,"Rodrigo Lombardi","Mariana Ximenes",
"Sorriso","Vitória",,,,"de um Império","Resplandecente","Resplandecente","Resplandecentes","Resplandecentes",,,,,,"Rodrigo Santoro","Marieta Severo",
"Sucessor",,,,,"de um Lugar Qualquer","Revelado","Revelada","Revelados","Reveladas",,,,,,"Rômulo Estrela","Marina Ruy Barbosa",
"Tempo",,,,,"de um Olhar","Roubado","Roubada","Roubados","Roubadas",,,,,,"Sandy","Marjorie Estiano",
"Triunfo",,,,,"de um Resgate","Sagrado","Sagrada","Sagrados","Sagradas",,,,,,"Selton Mello","Milena Toscano",
"Veneno",,,,,"de um Segredo","Secreto","Secreta","Secretos","Secretas",,,,,,"Sérgio Guizé","Nanda Costa",
,,,,,"de um Senhor","Selvagem","Selvagem","Selvagens","Selvagens",,,,,,"Tarcísio Meira","Não houve premiação.",
,,,,,"de um Sonho","Sensato","Sensata","Sensatos","Sensatas",,,,,,"Thiago Fragoso","Natália do Vale",
,,,,,"de um Triunfo","Sereno","Serena","Serenos","Serenas",,,,,,"Thiago Lacerda","Nathalia Dill",
,,,,,"de uma Atração","Simpático","Simpática","Simpáticos","Simpáticas",,,,,,"Thiago Rodrigues","Nívea Maria",
,,,,,"de uma Jogada","Sincero","Sincera","Sinceros","Sinceras",,,,,,"Tony Ramos","Nívea Stelmann",
,,,,,"de uma Manhã","Sonhador","Sonhadora","Sonhadores","Sonhadoras",,,,,,"Vladimir Brichta","Paloma Duarte",
,,,,,"de uma Mentira","Trabalhador","Trabalhadora","Trabalhadores","Trabalhadoras",,,,,,"Vladmir Brichta","Paolla Oliveira",
,,,,,"de uma Mulher","Traidor","Traidora","Traidores","Traidoras",,,,,,"Wagner Moura","Patricia Pillar",
,,,,,"de uma Noite","Triste","Triste","Tristes","Tristes",,,,,,,"Priscila Fantin",
,,,,,"de uma Senhora","Tropical","Tropical","Tropicais","Tropicais",,,,,,,"Regiane Alves",
,,,,,"de uma Separação","Velho","Velha","Velhos","Velhas",,,,,,,"Regina Casé",
,,,,,"de uma Tempestade","Verdadeiro","Verdadeira","Verdadeiros","Verdadeiras",,,,,,,"Regina Duarte",
,,,,,"de uma Viagem","Brega","Brega",,,,,,,,,"Renata Sorrah",
,,,,,"de uma Vida","Chique","Chique",,,,,,,,,"Sílvia Pfeifer",
,,,,,"de Verão",,,,,,,,,,,"Sophie Charlotte",
,,,,,"de Vida",,,,,,,,,,,"Susana Vieira",
,,,,,"de Vingança",,,,,,,,,,,"Taís Araújo",
,,,,,"de Viver",,,,,,,,,,,"Tatá Werneck",
,,,,,"do Amanhã",,,,,,"","","",,,"Vanessa Giácomo",
,,,,,"do Amor",,,,,,"","","",,,"Vera Fischer",
,,,,,"do Bairro",,,,,,"","","",,,"Vitória Strada",
,,,,,"do Brasil",,,,,,,,,,,"Vivianne Pasmanter",
,,,,,"do Caminho",,,,,,,,,,,,
,,,,,"do Campo",,,,,,,,,,,,
,,,,,"do Charme",,,,,,,,,,,,
,,,,,"do Coração",,,,,,,,,,,,
,,,,,"do Céu",,,,,,,,,,,,
,,,,,"do Desamor",,,,,,,,,,,,
,,,,,"do Desejo",,,,,,,,,,,,
,,,,,"do Destino",,,,,,,,,,,,
,,,,,"do Futuro",,,,,,,,,,,,
,,,,,"do Guardião",,,,,,,,,,,,
,,,,,"do Horizonte",,,,,,,,,,,,
,,,,,"do Jogo",,,,,,,,,,,,
,,,,,"do Meu Sangue",,,,,,,,,,,,
,,,,,"do Mundo",,,,,,,,,,,,
,,,,,"do Ouro",,,,,,,,,,,,
,,,,,"do Pai",,,,,,,,,,,,
,,,,,"do Paraíso",,,,,,,,,,,,
,,,,,"do Passado",,,,,,,,,,,,
,,,,,"do Pecado",,,,,,,,,,,,
,,,,,"do Poder",,,,,,,,,,,,
,,,,,"do Privilégio",,,,,,,,,,,,
,,,,,"do Que é Novo",,,,,,,,,,,,
,,,,,"do Querer",,,,,,,,,,,,
,,,,,"do Renascimento",,,,,,,,,,,,
,,,,,"do Ritmo",,,,,,,,,,,,
,,,,,"do Santo",,,,,,,,,,,,
,,,,,"do Seu Destino",,,,,,,,,,,,
,,,,,"do Tempo",,,,,,,,,,,,
,,,,,"do Vampiro",,,,,,,,,,,,
,,,,,"dos Amores",,,,,,,,,,,,
,,,,,"dos Milagres",,,,,,,,,,,,
,,,,,"dos Noivos",,,,,,,,,,,,
,,,,,"dos Novos Tempos",,,,,,,,,,,,
,,,,,"dos Sexos",,,,,,,,,,,,
,,,,,"em Desencanto",,,,,,,,,,,,
,,,,,"nas Nuvens",,,,,,,,,,,,
,,,,,"no Ar",,,,,,,,,,,,
,,,,,"no Caminho",,,,,,,,,,,,
,,,,,"para o Amor",,,,,,,,,,,,
,,,,,"para o Destino",,,,,,,,,,,,
,,,,,"por Amor",,,,,,,,,,,,
,,,,,"que Não Tem Fim",,,,,,,,,,,,
,,,,,"sem Fim",,,,,,,,,,,,
,,,,,"sob a Lua",,,,,,,,,,,,
,,,,,"sob o Sol",,,,,,,,,,,,
,,,,,"sob Pedra",,,,,,,,,,,,
